n,run,theta_nw,theta_bh,t_nw,t_bh,theta_nw_plus_t_nw,theta_bh_plus_t_bh,ratio_nw_bh
10,1,1.0199997632298619e-05,0.0003293000008852687,0.006739799999195384,0.0017241999994439539,0.0067499999968276825,0.0020535000003292225,3.287070852566596
10,2,8.800001523923129e-06,0.0002918999998655636,0.0076180999967618845,0.0012291000020923093,0.007626899998285808,0.0015210000019578729,5.014398414509042
10,3,1.1100000847363845e-05,0.0003145000009681098,0.0060517999991134275,0.0017160999996121973,0.006062899999960791,0.002030600000580307,2.985767752500802
10,4,1.1000000085914508e-05,0.00030530000003636815,0.006491000000096392,0.0017654999974183738,0.006502000000182306,0.002070799997454742,3.1398493375381653
10,5,9.800001862458885e-06,0.0003034999972442165,0.007520000002841698,0.0009831999996094964,0.007529800004704157,0.001286699996853713,5.852024576914825
10,6,1.1299998732283711e-05,0.0003501999999571126,0.007953899999847636,0.0026163000002270564,0.00796519999857992,0.002966500000184169,2.685049721249087
10,7,1.089999932446517e-05,0.0003155999984301161,0.008289599998533959,0.001045900000463007,0.008300499997858424,0.0013614999988931231,6.096584652667347
10,8,9.499999578110874e-06,0.0003956000000471249,0.007959400001709582,0.003384399999049492,0.007968900001287693,0.003779999999096617,2.1081746040190956
10,9,1.0100000508828089e-05,0.000787000000855187,0.009575800002494361,0.0013625999999931082,0.00958590000300319,0.002149600000848295,4.459387792715069
10,10,8.700000762473792e-06,0.00028979999842704274,0.006211299998540198,0.0018625000011525117,0.006219999999302672,0.0021522999995795544,2.889931701211602
10,11,7.800001185387373e-06,0.0002817999993567355,0.005176800001208903,0.0011084000034315977,0.005184600002394291,0.0013902000027883332,3.729391448709182
10,12,9.799998224480078e-06,0.00036719999843626283,0.005237900000793161,0.0026527000009082258,0.005247699999017641,0.0030198999993444886,1.737706546626288
10,13,7.700000423938036e-06,0.00029180000274209306,0.005619299998215865,0.0030208999996830244,0.005626999998639803,0.0033127000024251174,1.6986144216260042
10,14,9.899998985929415e-06,0.000402000001486158,0.00796260000061011,0.000962200003414182,0.007972499999596039,0.00136420000490034,5.844084423807388
10,15,8.499999239575118e-06,0.0003333000022394117,0.007963099997141398,0.0013854999997420236,0.007971599996380974,0.0017188000019814353,4.637886890383582
10,16,7.099999493220821e-06,0.00029149999681976624,0.00633899999957066,0.0038908999995328486,0.006346099999063881,0.004182399996352615,1.5173345458584029
10,17,9.800001862458885e-06,0.000374700000975281,0.00897619999886956,0.002248599997983547,0.00898600000073202,0.002623299998958828,3.4254564877438756
10,18,9.399998816661537e-06,0.00034450000021024607,0.007021800000075018,0.0015903000021353364,0.00703119999889168,0.0019348000023455825,3.6340707000039627
10,19,7.200000254670158e-06,0.0003175000019837171,0.007513000000471948,0.002242000002297573,0.007520200000726618,0.00255950000428129,2.93815197817837
10,20,7.399998139590025e-06,0.0002782000010483898,0.00631240000075195,0.002171799998905044,0.00631979999889154,0.002449999999953434,2.5795102036782276
10,21,7.499998901039362e-06,0.0002686000007088296,0.008739500000956468,0.0016262999997707084,0.008746999999857508,0.001894900000479538,4.61607472565514
10,22,9.199997293762863e-06,0.0004675999989558477,0.006145600000309059,0.0006563999995705672,0.006154799997602822,0.0011239999985264149,5.475800716789929
10,23,7.600003300467506e-06,0.00032110000029206276,0.006387000001268461,0.0006501999996544328,0.006394600004568929,0.0009712999999464955,6.5835478275725094
10,24,8.39999847812578e-06,0.00036130000080447644,0.008094500000879634,0.0024998999979288783,0.00810289999935776,0.0028611999987333547,2.831993570161083
10,25,1.0000003385357559e-05,0.0003600000018195715,0.006690900001558475,0.001632799998333212,0.006700900004943833,0.0019928000001527835,3.362555200938423
10,26,9.400002454640344e-06,0.0003479999977571424,0.008845700001984369,0.0015342000006057788,0.00885510000443901,0.0018821999983629212,4.704654134598289
10,27,9.499999578110874e-06,0.0003692999998747837,0.009490700002061203,0.002142200002708705,0.009500200001639314,0.002511500002583489,3.782679670263509
10,28,9.100000170292333e-06,0.0003797999997914303,0.008293200000480283,0.001586399997904664,0.008302300000650575,0.001966199997696094,4.222510431481457
10,29,7.99999907030724e-06,0.00027889999910257757,0.0062521999971068,0.0016746000001148786,0.006260199996177107,0.001953499999217456,3.2046071147606106
10,30,7.500002539018169e-06,0.0002853999976650812,0.005800700000690995,0.002440199998090975,0.005808200003230013,0.002725599995756056,2.1309803391083704
10,31,7.300001016119495e-06,0.0002913999996962957,0.005992799997329712,0.0016331999977410305,0.006000099998345831,0.0019245999974373262,3.1175828776551904
10,32,9.300001693191007e-06,0.00034419999792589806,0.006938700000318931,0.0018053000021609478,0.006948000002012122,0.002149500000086846,3.23237962397367
10,33,9.499999578110874e-06,0.0005356999972718768,0.007025399998383364,0.0023312000012083445,0.007034899997961475,0.0028668999984802213,2.453835153542419
10,34,8.300001354655251e-06,0.0003403000009711832,0.009475700000621146,0.002932900002633687,0.0094840000019758,0.0032732000036048703,2.897470362804227
10,35,8.999999408842996e-06,0.0003584000005503185,0.009252300002117408,0.0019530999998096377,0.009261300001526251,0.002311500000359956,4.006619078556801
10,36,6.400001439033076e-06,0.00029939999876660295,0.008727500000532018,0.00394619999860879,0.008733900001971051,0.004245599997375393,2.057165066744465
10,37,1.1899999663000926e-05,0.0004254000014043413,0.006863699996756623,0.0016996999984257855,0.0068755999964196235,0.0021250999998301268,3.235424213904868
10,38,8.099999831756577e-06,0.00028730000121868216,0.006984599996940233,0.0018621000017446931,0.006992699996771989,0.0021494000029633753,3.2533265037364667
10,39,6.70000008540228e-06,0.0002719000003708061,0.005809700000099838,0.0012781999976141378,0.00581640000018524,0.001550099997984944,3.7522740518329676
10,40,6.199999916134402e-06,0.00034189999860245734,0.007916099999420112,0.0018850000014936086,0.007922299999336246,0.002226900000096066,3.5575463644503516
10,41,8.000002708286047e-06,0.0002967999971588142,0.011390199997549644,0.005179099996894365,0.01139820000025793,0.005475899994053179,2.081520848195979
10,42,1.4500001270789653e-05,0.0007153000005928334,0.00951119999808725,0.0028708999998343643,0.00952569999935804,0.0035862000004271977,2.656209915292876
10,43,7.500002539018169e-06,0.00029429999995045364,0.009842100000241771,0.0024741999986872543,0.00984960000278079,0.002768499998637708,3.557738850506581
10,44,8.999999408842996e-06,0.00034729999970295466,0.008048499999858905,0.0021754000008513685,0.008057499999267748,0.002522700000554323,3.1939984926853136
10,45,8.899998647393659e-06,0.00032929999724728987,0.0076950000002398156,0.0010818000009749085,0.007703899998887209,0.0014110999982221983,5.45949968718951
10,46,8.800001523923129e-06,0.000378700002329424,0.009546199999022065,0.002312199998414144,0.009555000000545988,0.002690900000743568,3.55085658995343
10,47,7.300001016119495e-06,0.00028309999834164046,0.00746390000131214,0.001322000000072876,0.00747120000232826,0.0016050999984145164,4.654663266904337
10,48,6.400001439033076e-06,0.0003752999982680194,0.005682799997885013,0.0016337999986717477,0.005689199999324046,0.002009099996939767,2.83171569757093
10,49,7.99999907030724e-06,0.0003198000013071578,0.006807199999457225,0.001602100001036888,0.0068151999985275324,0.0019219000023440458,3.546074192317692
10,50,6.999998731771484e-06,0.00031709999893791974,0.008307200001581805,0.0017861999986052979,0.008314200000313576,0.0021032999975432176,3.952931113024803
10,51,7.599999662488699e-06,0.0003145000009681098,0.007891299999755574,0.0011076999981014524,0.007898899999418063,0.0014221999990695622,5.554000846987566
10,52,7.600003300467506e-06,0.00030170000172802247,0.0057201000017812476,0.0024446000024909154,0.005727700005081715,0.002746300004218938,2.0856060868378083
10,53,6.900001608300954e-06,0.0002936999990197364,0.008206200000131503,0.0021516000015253667,0.008213100001739804,0.002445300000545103,3.358728990270703
10,54,7.200000254670158e-06,0.00032110000029206276,0.006845399999292567,0.0015055000003485475,0.0068525999995472375,0.0018266000006406102,3.7515602743588907
10,55,6.599999323952943e-06,0.0002815000007103663,0.009187499999825377,0.0026619000018399674,0.00919409999914933,0.0029434000025503337,3.123632530808937
10,56,8.499999239575118e-06,0.00031350000062957406,0.00594959999943967,0.001631999999517575,0.005958099998679245,0.001945500000147149,3.062503211631252
10,57,6.70000008540228e-06,0.0002898999991884921,0.00871249999909196,0.0017785999989428092,0.008719199999177363,0.0020684999981313013,4.215228429806311
10,58,7.200000254670158e-06,0.0003163999972457532,0.008837199999106815,0.0023373999974865,0.008844399999361485,0.0026537999947322533,3.332730430672042
10,59,9.199997293762863e-06,0.00039770000148564577,0.007331799999519717,0.001107599997340003,0.00734099999681348,0.0015052999988256488,4.876768752102916
10,60,6.599999323952943e-06,0.0002941999991890043,0.007578699998703087,0.002406600000540493,0.00758529999802704,0.0027007999997294974,2.8085382104512577
10,61,7.700000423938036e-06,0.00029210000138846226,0.007624099998793099,0.0027871999991475604,0.007631799999217037,0.0030793000005360227,2.4784204195396837
10,62,8.499999239575118e-06,0.00032760000249254517,0.007966599998326274,0.0017514999999548309,0.007975099997565849,0.002079100002447376,3.835842426135395
10,63,7.90000194683671e-06,0.00029519999952754006,0.007925800000521122,0.0026839000020117965,0.007933700002467958,0.0029791000015393365,2.6631197336002552
10,64,8.099999831756577e-06,0.00037760000122943893,0.006577600001037354,0.00083470000026864,0.00658570000086911,0.001212300001498079,5.432401214823843
10,65,7.000002369750291e-06,0.0003163999972457532,0.005783299999166047,0.001242000002093846,0.0057903000015357975,0.0015583999993395992,3.7155415836688555
10,66,8.099999831756577e-06,0.0003541000005498063,0.008101400002487935,0.002657999997609295,0.008109500002319692,0.0030120999981591012,2.6923076947232687
10,67,9.999999747378752e-06,0.0006737000003340654,0.010027299998910166,0.0018880999996326864,0.010037299998657545,0.002561799999966752,3.9180654222764515
10,68,8.499999239575118e-06,0.00027889999910257757,0.005300400000123773,0.001388500000757631,0.005308899999363348,0.0016673999998602085,3.1839390666957152
10,69,7.200000254670158e-06,0.0002662999977474101,0.005556200001592515,0.0016673999998602085,0.005563400001847185,0.0019336999976076186,2.8770750420076774
10,70,7.099999493220821e-06,0.0003255000010540243,0.008201699998608092,0.003010000000358559,0.008208799998101313,0.0033355000014125835,2.4610403221780506
10,71,9.100000170292333e-06,0.00033070000063162297,0.006193699999130331,0.0021290000004228204,0.006202799999300623,0.0024597000010544434,2.5217709463111593
10,72,1.1300002370262519e-05,0.0004122000027564354,0.008936199999880046,0.001675499999691965,0.008947500002250308,0.0020877000024484005,4.285816923771094
10,73,9.2999980552122e-06,0.00034840000080293976,0.00815869999860297,0.0026257999998051673,0.008167999996658182,0.002974200000608107,2.7462847135324275
10,74,9.60000033956021e-06,0.00042209999810438603,0.009025499999552267,0.0023839000023144763,0.009035099999891827,0.0028060000004188623,3.2199215960595593
10,75,1.8999999156221747e-05,0.0003637000008893665,0.007496399997762637,0.0012370000004011672,0.007515399996918859,0.0016007000012905337,4.695070900768234
10,76,7.799997547408566e-06,0.0003198000013071578,0.008022300000448013,0.0015743000003567431,0.008030099997995421,0.001894100001663901,4.2395332827946035
10,77,8.999999408842996e-06,0.00032949999877018854,0.008546299999579787,0.003056499997910578,0.00855529999898863,0.0033859999966807663,2.526668637736336
10,78,9.399998816661537e-06,0.00034890000097220764,0.006661499999609077,0.003355500000907341,0.006670899998425739,0.0037044000018795487,1.8008044474249647
10,79,8.300001354655251e-06,0.0003316000002087094,0.006229500002518762,0.0021673999981430825,0.006237800003873417,0.002498999998351792,2.496118450575246
10,80,9.199997293762863e-06,0.0003663000024971552,0.0070197999993979465,0.002569199998106342,0.007028999996691709,0.002935500000603497,2.394481347384312
10,81,7.90000194683671e-06,0.0003237000018998515,0.006562999999005115,0.0021435999988170806,0.006570900000951951,0.002467300000716932,2.66319458478605
10,82,7.300001016119495e-06,0.0003907999998773448,0.00846300000193878,0.0016584000004513655,0.0084703000029549,0.0020492000003287103,4.133466719498432
10,83,7.800001185387373e-06,0.00029379999978118576,0.005007100000511855,0.002115600000252016,0.005014900001697242,0.0024094000000332016,2.0813895582419426
10,84,8.999999408842996e-06,0.0004169999992882367,0.005893499997910112,0.002673099999810802,0.005902499997318955,0.0030900999990990385,1.9101323578654124
10,85,8.600000001024455e-06,0.00033880000046337955,0.00849729999754345,0.002635199998621829,0.008505899997544475,0.0029739999990852084,2.860087424398406
10,86,8.499999239575118e-06,0.00039280000055441633,0.007116199998563388,0.0009439999994356185,0.0071246999978029635,0.0013367999999900348,5.329667861950983
10,87,9.20000093174167e-06,0.00044519999937620014,0.006270199999562465,0.0025854999985313043,0.006279400000494206,0.0030306999979075044,2.0719305786879967
10,88,6.199999916134402e-06,0.0002778999987640418,0.006072299998777453,0.0012507999999797903,0.006078499998693587,0.0015286999987438321,3.9762543361604177
10,89,8.700000762473792e-06,0.00035549999665818177,0.005986699998175027,0.0010584000010567252,0.005995399998937501,0.001413899997714907,4.240328176410669
10,90,7.099999493220821e-06,0.0002883000015572179,0.0058996999978262465,0.0016227000014623627,0.005906799997319467,0.0019110000030195806,3.0909471418032983
10,91,6.899997970322147e-06,0.00027970000155619346,0.0057137000003422145,0.004254499999660766,0.005720599998312537,0.004534200001216959,1.2616558591983487
10,92,1.300000076298602e-05,0.0005001000026823021,0.008979800000815885,0.001532899997982895,0.008992800001578871,0.002033000000665197,4.42341367370213
10,93,8.800001523923129e-06,0.0003136000013910234,0.007382200001302408,0.001414000002114335,0.007391000002826331,0.0017276000035053585,4.278189388648845
10,94,8.300001354655251e-06,0.0002879999992728699,0.007833700001356192,0.00228150000111782,0.007842000002710847,0.00256950000039069,3.0519556339826734
10,95,1.0799998563015833e-05,0.00043599999844445847,0.009664899997005705,0.0010378000006312504,0.00967569999556872,0.001473799999075709,6.565137740288248
10,96,1.0200001270277426e-05,0.00035879999995813705,0.005765999998402549,0.0018627999997988809,0.005776199999672826,0.002221599999757018,2.6000180051785127
10,97,8.999999408842996e-06,0.00035399999978835694,0.008215499998186715,0.002138699997885851,0.008224499997595558,0.002492699997674208,3.2994343504109422
10,98,9.69999746303074e-06,0.00036589999945135787,0.007193999997980427,0.0008027000003494322,0.007203699995443458,0.00116859999980079,6.1643847310212765
10,99,7.699996785959229e-06,0.00027520000003278255,0.004410599998664111,0.0027355999991414137,0.00441829999545007,0.0030107999991741963,1.467483724147045
10,100,7.599999662488699e-06,0.0003854000024148263,0.009389300001203083,0.001717600000120001,0.009396900000865571,0.0021030000025348272,4.468330950803198
40,1,2.1200001356191933e-05,0.009647599999880185,0.7966659000012442,0.134163400001853,0.7966871000026003,0.1438110000017332,5.539820319676512
40,2,2.179999864893034e-05,0.008323500002006767,0.8797905999999784,0.2720195000001695,0.8798123999986274,0.28034300000217627,3.1383426730533577
40,3,1.790000169421546e-05,0.007962800002133008,0.6735876000020653,0.1558182000007946,0.6736055000037595,0.1637810000029276,4.112842759488089
40,4,2.0600000425474718e-05,0.007919599996967008,0.635965400000714,0.1249368000026152,0.6359860000011395,0.1328563999995822,4.78701816399616
40,5,1.7899998056236655e-05,0.007556100001238519,0.5653854000011052,0.12612689999878057,0.5654032999991614,0.1336830000000191,4.229433061788565
40,6,1.7700000171316788e-05,0.007470100001228275,0.6170259000027727,0.10767860000123619,0.617043600002944,0.11514870000246447,5.358667531546059
40,7,2.0600000425474718e-05,0.0077109000012569595,0.5603497000010975,0.0954143999988446,0.560370300001523,0.10312530000010156,5.433878010546113
40,8,2.0200001017656177e-05,0.007785699999658391,0.6925076999978046,0.09145899999930407,0.6925278999988222,0.09924469999896246,6.977983711030031
40,9,2.269999822601676e-05,0.008023400001547998,0.6620304999996733,0.12089370000103372,0.6620531999978994,0.12891710000258172,5.1354956013177535
40,10,2.600000152597204e-05,0.008143399998516543,0.5832855000007839,0.1622823999969114,0.5833115000023099,0.17042579999542795,3.422671332732242
40,11,1.9099999917671084e-05,0.008164499999111285,0.6634691999970528,0.05807930000082706,0.6634882999969705,0.06624379999993835,10.015855068664358
